Species_name	SAMD9_gene_status	Vend
Acinonyx_jubatus	L	100
Ailuropoda_melanoleuca	L	10
Bison_bison	I	0
Bos_taurus	L	0
Canis_familiaris	L	100
Capra_sibirica	I	0
Cavia_porcellus	I	0
Ceratotherium_simum	I	0
Chinchilla_lanigera	I	0
Chlorocebus_sabaeus	I	0
Condylura_cristata	I	0
Cricetulus_griseus	I	0
Cynopterus_sphinx	I	0
Dasypus_novemcinctus	I	0
Delphinapterus_leucas	I	0
Desmodus_rotundus	I	100
Dicerorhinus_sumatrensis	I	0
Dipodomys_ordii	I	0
Eptesicus_fuscus	I	0
Equus_asinus	I	0
Equus_caballus	I	0
Erinaceus_europaeus	I	10
Eschrichtius_robustus	I	0
Felis_catus	L	100
Fukomys_damarensis	I	0
Galeopterus_variegatus	I	0
Giraffa_camelopardalis	I	0
Gorilla_gorilla	I	0
Heterocephalus_glaber	I	0
Hipposideros_armiger	I	0
Jaculus_jaculus	I	0
Macaca_mulatta	I	0
Marmota_flaviventris	I	0
Meriones_unguiculatus	I	0
Mesocricetus_auratus	I	10
Miniopterus_natalensis	I	0
Myotis_brandtii	I	0
Myotis_davidii	I	0
Nasalis_larvatus	L	0
Neophocaena_asiaeorientalis	I	0
Octodon_degus	I	0
Odocoileus_virginianus	I	0
Okapia_johnstoni	I	0
Orcinus_orca	I	50
Oryctolagus_cuniculus	I	0
Otolemur_garnettii	I	0
Ovis_aries	I	0
Pantholops_hodgsonii	I	0
Pan_troglodytes	I	0
Physeter_catodon	I	0
Pongo_abelii	I	0
Psammomys_obesus	I	0
Pteronotus_parnellii	I	0
Pteropus_alecto	I	0
Rattus_norvegicus	I	0
Rhinolophus_ferrumequinum	I	0
Rhinolophus_sinicus	I	0
Rhinopithecus_roxellana	L	0
Rousettus_aegyptiacus	I	0
Sorex_araneus	I	0
Spalax_galili	I	0
Spermophilus_tridecemlineatus	I	0
Sus_scrofa	I	0
Trachops_cirrhosus	I	0
Tursiops_aduncus	I	0
Ursus_americanus	L	10
Ursus_arctos	L	10
Ursus_maritimus	L	90
Addax_nasomaculatus	I	0
Canis_lupus	L	100
Lycaon_pictus	L	100
Panthera_leo	L	90
Panthera_onca	L	80
Phacochoerus_africanus	I	0
Zalophus_californianus	L	0
