Species_name	SAMD9L_gene_status	SAMD9_gene_status
Suncus_etruscus		
Sorex_fumeus		
Sorex_araneus		
Erinaceus_europaeus		
Condylura_cristata	I	I
Talpa_occidentalis		
Manis_javanica	I	L
Manis_pentadactyla	I	L
Suricata_suricatta	I	M
Hyaena_hyaena	I	PG
Acinonyx_jubatus	I	L
Puma_concolor	I	L
Puma_yagouaroundi	I	L
Lynx_rufus	I	L
Lynx_canadensis	I	L
Prionailurus_bengalensis	I	L
Prionailurus_viverrinus	I	L
Felis_catus	I	L
Leopardus_geoffroyi	I	L
Neofelis_nebulosa	I	L
Panthera_tigris	I	L
Panthera_leo	I	L
Panthera_pardus	I	L
Panthera_onca	I	L
Panthera_uncia	I	L
Nyctereutes_procyonoides	I	L
Vulpes_vulpes	I	L
Vulpes_lagopus	I	L
Canis_lupus	I	L
Canis_lupus	I	L
Canis_lupus	I	L
Canis_lupus	I	L
Canis_lupus	I	L
Canis_lupus	I	L
Lutra_lutra	I	L
Enhydra_lutris	I	PG
Lontra_canadensis	I	M
Mustela_putorius	I	L
Mustela_lutreola	I	L
Mustela_nigripes	I	PG
Mustela_erminea	I	M
Neogale_vison	I	L
Meles_meles	I	L
Odobenus_rosmarus	I	M
Callorhinus_ursinus	I	L
Eumetopias_jubatus	I	L
Zalophus_californianus	I	L
Halichoerus_grypus	UL	L
Phoca_vitulina	I	L
Mirounga_leonina	I	L
Mirounga_angustirostris	I	L
Neomonachus_schauinslandi	I	L
Ailuropoda_melanoleuca	I	M
Ursus_americanus	I	L
Ursus_arctos	I	L
Ursus_maritimus	I	L
Equus_przewalskii	I	I
Equus_caballus	I	I
Equus_asinus	UL	I
Equus_quagga	I	I
Ceratotherium_simum	I	I
Diceros_bicornis	I	I
Vicugna_pacos	PG	I
Camelus_dromedarius	PG	I
Camelus_ferus	PG	UL
Camelus_bactrianus	PG	I
Delphinapterus_leucas	M	M
Monodon_monoceros	PG	I
Neophocaena_asiaeorientalis	PG	I
Phocoena_sinus	L	I
Phocoena_phocoena	L	I
Orcinus_orca	PG	I
Lagenorhynchus_albirostris	M	I
Lagenorhynchus_obliquidens	PG	L
Globicephala_melas	M	L
Pseudorca_crassidens	M	I
Delphinus_delphis	M	L
Tursiops_truncatus	PG	L
Mesoplodon_densirostris	PG	I
Eubalaena_glacialis	PG	L
Eschrichtius_robustus	PG	I
Balaenoptera_musculus	PG	I
Balaenoptera_acutorostrata	PG	I
Hippopotamus_amphibius	L	I
Moschus_berezovskii		L
Bos_mutus	PG	I
Bison_bison	PG	I
Bos_taurus	PG	L
Bos_indicus	PG	L
Bubalus_bubalis	PG	I
Oryx_dammah	PG	I
Capra_hircus	PG	I
Ovis_canadensis	I	UL
Ovis_aries	UL	I
Budorcas_taxicolor	PG	I
Capricornis_sumatraensis	PG	I
Muntiacus_reevesi	PG	I
Dama_dama	PG	I
Cervus_canadensis	PG	I
Cervus_elaphus	PG	I
Phacochoerus_africanus	PG	I
Sus_scrofa	PG	I
