Test	LRT	p-value	K
Antechinus_flavipes	3.473415341875807	0.06236242607665554	1.548862915902284
Dasyurus_viverrinus	0.2111180812717066	0.6458924713923333	1.237125772817008
Dromiciops_gliroides	0.5084370349504752	0.4758162355874858	1.148889037743408
Gracilinanus_agilis	9.161636102311604	0.00247141511159632	1.778556596710628
Lagorchestes_hirsutus	0.07358415908674942	0.786187990617091	1.136698655597368
Macropus_fuliginosus	0.01600489787233528	0.8993278653714976	0.4025235528901258
Macropus_giganteus	3.177550233580405	0.07465658152523391	2.89992644056582
Macrotis_lagotis	0.2874857595597859	0.5918362379067656	0.6917301466240761
Monodelphis_domestica	0.4828275019099237	0.4871443582729732	1.171743936348052
Myrmecobius_fasciatus	0.6355517340998631	0.4253261839968385	0.5232391526237309
Notamacropus_eugenii	11.27949807467667	0.0007836774175978833	2.569269832885219
Phalanger_gymnotis	0.1755443174042739	0.6752306819164534	0.8601204710206141
Potorous_gilbertii	0.1686547484496259	0.6813101529849934	0.8691768136882267
Pseudocheirus_occidentalis	0.2550836354494095	0.6135180632930749	0.8158503918493112
Pseudochirops_corinnae	2.607559844560456	0.1063553007861405	0.117383015980339
Pseudochirops_cupreus	2.220892727294995	0.1361543107272325	0.128950005396566
Sarcophilus_harrisii	0.2387829709041398	0.6250865023422971	0.3162032898117955
Sminthopsis_crassicaudata	0.169845393866126	0.680249247613925	0.8664084783109162
Thylacinus_cynocephalus	7.999318083086109	0.004679496964433927	0.1451506757879237
Trichosurus_vulpecula	5.816388064624334	0.01587751746326427	0.1293078162243177
Vombatus_ursinus	1.278160243564344	0.2582413873530944	0.6666015767507779
