Test	LRT	p-value	K
Antechinus_flavipes	0.3029534513261751	0.5820367690770619	0.645446238405039
Dasyurus_viverrinus	2.727895775260549	0.09860912872864291	4.118278893939699
Dromiciops_gliroides	0.3405819095751212	0.5594935251734889	0.8342825299720985
Gracilinanus_agilis	0.885522016818868	0.3466936907774834	1.409309945085723
Lagorchestes_hirsutus	0.2787989028729498	0.5974895410433407	0.4206818297203468
Macropus_fuliginosus	-5.922451236983761e-06	1	0.9250552633364546
Macropus_giganteus	1.387382477216306	0.2388476344021766	3.209713190229774
Macrotis_lagotis	2.160882704476535	0.1415633473465456	1.264858636880495
Monodelphis_domestica	0.0700427079864312	0.7912746075260203	0.887431990388002
Myrmecobius_fasciatus	6.160675536051713	0.01306213134405665	0.4723023650136318
Notamacropus_eugenii	0.3209920539484301	0.5710120660036733	0.5690623720470057
Phalanger_gymnotis	0.04942604531242978	0.8240650239148193	1.103717758904087
Potorous_gilbertii	0.215320753344713	0.642628635696333	0.7216847834765534
Pseudocheirus_occidentalis	0.2256236043649551	0.6347880204294816	1.217303338834268
Pseudochirops_corinnae	0.04464334850490559	0.8326611990861992	1.16004373188892
Pseudochirops_cupreus	0.2321360927380738	0.6299444515777062	1.266369212624805
Sarcophilus_harrisii	3.247146517380315	0.07154791500674618	4.465372220318522
Sminthopsis_crassicaudata	3.771212277344603	0.05214182952513957	2.319582061788822
Thylacinus_cynocephalus	6.264292401530838	0.01231953620263659	0.3932611837380451
Trichosurus_vulpecula	0.00759950295832823	0.9305323089888499	1.08343211327421
Vombatus_ursinus	0.1680031126634276	0.6818926365493633	0.8494263462049164
