target_id	length	eff_length	est_counts	tpm
LOC100919053-XP_023354218.1	2184	1924.51	627.395	8.6073
LOC100919053-XP_031807022.1	2058	1798.51	0	0
LOC116420914-XP_031805011.1	1593	1333.51	75.0613	1.48616
LOC105749646-XP_031805012.1	1578	1318.51	2.01537	0.0403569
LOC100918791-XP_031807025.1	2166	1906.51	13.0123	0.180203
LOC116421482-XP_031807034.1	1059	799.508	16	0.528376
LOC100922713-XP_031807030.1	1872	1612.51	220.899	3.6169
LOC111718993-XP_031805013.1	951	691.556	4	0.152714
LOC100913756-XP_031807044.1	1467	1207.51	3.01254	0.06587
LOC105749010-XP_031805014.1	2418	2158.51	5.04224	0.0616759
LOC105749000-XP_031807053.1	1365	1105.51	3.0021	0.0716982
NUF2-XP_023354161.1	1383	1123.51	30.5	0.716752
NUF2-XP_031807063.1	1383	1123.51	30.5	0.716752
NUF2-XP_031807069.1	1383	1123.51	30.5	0.716752
NUF2-XP_003762728.1	1383	1123.51	30.5	0.716752
LOC111719491-XP_031805015.1	1551	1291.51	0	0
CHP2-XP_031807085.1	588	331.205	0	0
BET1-XP_031807107.1	351	112.223	158	37.1723
LOC116421488-XP_031807092.1	1320	1060.51	38	0.946052
LOC100920799-XP_023354436.1	222	43.4803	57.9687	35.2003
LOC100920799-XP_031807137.1	222	43.4803	57.9687	35.2003
LOC100920799-XP_012399608.1	222	43.4803	57.9687	35.2003
LOC100920799-XP_031807117.1	252	46.5991	9.09401	5.15256
GNGT1-XP_003763123.1	225	44.3464	2	1.19074
TFPI2-XP_031805017.1	1227	967.508	26	0.70952
CALCR-[transl_except=(pos:1132..1134,aa:Other)	1404	1144.51	1623	37.4408
LOC116420915-XP_031805018.1	597	339.945	2	0.155334
VPS50-[exception=unclassified-translation-discrepancy	2697	2437.51	2544	27.556
HEPACAM2-XP_031805020.1	1176	916.508	29	0.835425
UBP1-XP_031807200.1	1557	1297.51	0	0
UBP1-XP_031807193.1	1578	1318.51	101.463	2.03174
UBP1-XP_031807183.1	1665	1405.51	134.349	2.52375
UBP1-XP_031807166.1	1686	1426.51	724.895	13.4167
UBP1-XP_031807177.1	1668	1408.51	1577.54	29.571
UBP1-XP_031807161.1	1686	1426.51	1042.45	19.2943
UBP1-XP_031807156.1	1689	1429.51	0.393004	0.00725865
UBP1-XP_031807188.1	1584	1324.51	74.6489	1.48804
UBP1-XP_031807206.1	1425	1165.51	3339.95	75.6606
UBP1-XP_031807214.1	1425	1165.51	3339.95	75.6606
CLASP2-XP_031805021.1	5196	4936.51	21721	116.173
PDCD6IP-XP_031807222.1	2634	2374.51	3676	40.874
LOC116420917-XP_031805022.1	1497	1237.51	148	3.15762
ARPP21-XP_031807240.1	2508	2248.51	10.078	0.118338
ARPP21-XP_031807287.1	2508	2248.51	10.078	0.118338
ARPP21-XP_031807248.1	2505	2245.51	3.10416	0.0364985
ARPP21-XP_031807263.1	2412	2152.51	418.774	5.13665
ARPP21-XP_031807268.1	2409	2149.51	0.1192	0.00146414
ARPP21-XP_031807255.1	2448	2188.51	1217	14.6821
ARPP21-XP_031807323.1	2445	2185.51	391.184	4.72578
ARPP21-XP_031807272.1	2406	2146.51	540.168	6.64419
ARPP21-XP_031807317.1	2403	2143.51	162.999	2.00773
ARPP21-XP_031807294.1	2307	2047.51	4.31502	0.055642
ARPP21-XP_031807281.1	2346	2086.51	1828.52	23.138
ARPP21-XP_031807333.1	2343	2083.51	564.804	7.15728
ARPP21-XP_031807301.1	2247	1987.51	10.7213	0.142425
ARPP21-XP_031807307.1	861	601.691	363.876	15.9671
ARPP21-XP_031807314.1	270	47.0683	4155.26	2330.85
STAC-XP_031807346.1	1233	973.508	10	0.27121
STAC-XP_023354287.2	1329	1069.51	0	0
LOC116421873-XP_031811797.1	1311	1051.51	4	0.100437
DCLK3-XP_031812819.1	2373	2113.51	288	3.59778
TRANK1-[exception=unclassified-translation-discrepancy	9264	9004.51	1021	2.99372
LOC116421506-XP_031807355.1	471	219.217	1	0.12044
IPPK-XP_031814412.1	1521	1261.51	526	11.0088
CENPP-XP_031815278.1	1203	943.508	41	1.14732
ECM2-XP_031807365.1	1704	1444.51	42.4556	0.775997
ECM2-XP_031807375.1	1671	1411.51	41.1758	0.770202
