Codon	Partition	alpha	beta_plus	p_plus	LRT	pValue	Species
							Monodelphis_domestica
93	1	0.000	1040.890	1.000	4.081	0.0606	Monodelphis_domestica
99	1	0.000	10.395	1.000	3.417	0.0858	Monodelphis_domestica
117	1	0.000	2747.958	1.000	5.691	0.0264	Monodelphis_domestica
127	1	0.000	12.278	1.000	3.922	0.0659	Monodelphis_domestica
137	1	0.000	10.692	1.000	3.953	0.0648	Monodelphis_domestica
156	1	2.308	40.999	1.000	3.534	0.0807	Monodelphis_domestica
191	1	0.000	19.022	1.000	7.150	0.0125	Monodelphis_domestica
247	1	0.571	17.435	1.000	3.895	0.0668	Monodelphis_domestica
304	1	0.000	10.933	1.000	4.758	0.0427	Monodelphis_domestica
329	1	0.000	11.024	1.000	3.688	0.0745	Monodelphis_domestica
366	1	0.000	134.214	0.990	4.216	0.0565	Monodelphis_domestica
369	1	1.146	46.292	1.000	3.242	0.0940	Monodelphis_domestica
422	1	0.000	9.882	1.000	3.597	0.0781	Monodelphis_domestica
481	1	0.000	9.590	1.000	3.603	0.0778	Monodelphis_domestica
482	1	0.800	14.813	1.000	3.190	0.0966	Monodelphis_domestica
592	1	0.000	11.515	1.000	4.503	0.0487	Monodelphis_domestica
674	1	0.000	7.989	1.000	3.313	0.0906	Monodelphis_domestica
754	1	0.000	15.439	1.000	4.213	0.0566	Monodelphis_domestica
766	1	0.000	12.848	1.000	5.001	0.0377	Monodelphis_domestica
863	1	0.000	25.162	1.000	4.726	0.0434	Monodelphis_domestica
874	1	0.000	5810.805	1.000	7.155	0.0125	Monodelphis_domestica
890	1	0.000	12.206	1.000	3.878	0.0674	Monodelphis_domestica
930	1	0.642	23.780	1.000	3.998	0.0633	Monodelphis_domestica
969	1	0.000	409.891	1.000	8.710	0.0057	Monodelphis_domestica
970	1	0.000	36.917	1.000	6.107	0.0213	Monodelphis_domestica
1012	1	0.000	11.320	1.000	3.214	0.0954	Monodelphis_domestica
1071	1	0.000	18.472	1.000	5.865	0.0242	Monodelphis_domestica
1084	1	0.000	12.879	1.000	3.866	0.0679	Monodelphis_domestica
1117	1	0.000	4612.582	1.000	12.667	0.0008	Monodelphis_domestica
1138	1	0.000	14.439	1.000	5.260	0.0330	Monodelphis_domestica
1147	1	0.000	11.221	1.000	4.746	0.0430	Monodelphis_domestica
1148	1	0.000	8.827	1.000	4.549	0.0476	Monodelphis_domestica
1149	1	0.000	35.421	1.000	10.692	0.0021	Monodelphis_domestica
1157	1	0.000	8.962	1.000	3.126	0.0999	Monodelphis_domestica
1225	1	0.000	9.097	1.000	4.040	0.0620	Monodelphis_domestica
1234	1	0.000	15.547	1.000	4.200	0.0570	Monodelphis_domestica
1244	1	0.000	16.980	1.000	5.596	0.0277	Monodelphis_domestica
1274	1	0.000	23.207	1.000	4.837	0.0410	Monodelphis_domestica
1281	1	0.000	10.706	1.000	4.857	0.0406	Monodelphis_domestica
1298	1	0.000	12.580	1.000	3.501	0.0821	Monodelphis_domestica
1305	1	0.000	16.695	1.000	5.185	0.0343	Monodelphis_domestica
1322	1	0.000	13.017	1.000	3.198	0.0962	Monodelphis_domestica
1324	1	0.000	1143.858	1.000	9.614	0.0036	Monodelphis_domestica
1325	1	0.635	970.520	1.000	9.375	0.0040	Monodelphis_domestica
1326	1	0.000	34.940	1.000	6.565	0.0169	Monodelphis_domestica
1337	1	0.000	46.198	1.000	3.225	0.0949	Monodelphis_domestica
1356	1	0.000	10.836	1.000	4.764	0.0426	Monodelphis_domestica
1362	1	0.000	13.338	1.000	3.673	0.0750	Monodelphis_domestica
1372	1	0.000	11.012	1.000	3.431	0.0852	Monodelphis_domestica
1374	1	0.728	10000.000...	0.538	3.562	0.0795	Monodelphis_domestica
1457	1	1.449	319.295	1.000	4.846	0.0408	Monodelphis_domestica
1463	1	0.000	10000.000...	1.000	10.592	0.0022	Monodelphis_domestica
1508	1	0.706	22.508	1.000	3.688	0.0744	Monodelphis_domestica
1539	1	0.000	11.551	1.000	4.755	0.0428	Monodelphis_domestica
1541	1	0.000	10.588	1.000	4.088	0.0604	Monodelphis_domestica
1545	1	0.000	17.461	1.000	5.244	0.0332	Monodelphis_domestica
1549	1	0.717	25.363	1.000	5.270	0.0328	Monodelphis_domestica
1579	1	0.000	16.377	1.000	4.421	0.0509	Monodelphis_domestica
