Common Name	NCBI GeneID	Symbol	Taxonomic ID	Taxonomic Name	Transcript Accession	Transcript CDS Sequence Accession	Transcript Count	Transcript Ensembl Transcript	Transcript Genomic Accession 	Transcript Protein Length
	105521036	SAMD9	336983	Colobus angolensis palliatus	XM_011955057.1	XM_011955057.1	1		NW_012117310.1	1588
	126951307	SAMD9	257877	Macaca thibetana thibetana	XM_050785355.1	XM_050785355.1	1		NC_065580.1	1588
black snub-nosed monkey	108528487	SAMD9	61621	Rhinopithecus bieti	XM_017870301.1	XM_017870301.1	1		NW_016804727.1	1587
bobcat	124524966	SAMD9	61384	Lynx rufus	XM_053722205.1	XM_053722205.1	1		NW_025814856.1	934
California sea lion	113911102	SAMD9	9704	Zalophus californianus	XM_035723213.1	XM_035723213.1	1		NC_045606.1	1570
Canada lynx	115508906	SAMD9	61383	Lynx canadensis	XM_030307959.1	XM_030307959.1	1		NC_044304.2	280
dyeing poison frog	141095733	SAMD9	92724	Dendrobates tinctorius	XM_073582013.1	XM_073582013.1	1		NW_027361738.1	1221
fishing cat	125153583	SAMD9	61388	Prionailurus viverrinus	XM_053447904.1	XM_053447904.1	1		NC_062562.1	862
Francois's langur	117073471	SAMD9	54180	Trachypithecus francoisi	XM_033194382.1	XM_033194382.1	1		NW_022681469.1	1612
golden snub-nosed monkey	104667846	SAMD9	61622	Rhinopithecus roxellana	XM_030932323.1	XM_030932323.1	1		NC_044554.1	1588
Hawaiian monk seal	110579885	SAMD9	29088	Neomonachus schauinslandi	XM_021689530.1	XM_021689530.1	1		NC_058414.1	1420
hybrid cattle	113891735	SAMD9	30522	Bos indicus x Bos taurus	XM_027540174.1	XM_027540174.1	1		NC_040079.1	1581
northern white-cheeked gibbon	100605126	SAMD9	61853	Nomascus leucogenys	XM_030822087.1	XM_030822087.1	1		NC_044391.1	1588
Pallas's mastiff bat	118620051	SAMD9	27622	Molossus molossus	XM_036247044.1	XM_036247044.1	1		NW_023425401.1	1586
prairie vole	101992290	Samd9	79684	Microtus ochrogaster	XM_005371766.3	XM_005371766.3	1		NW_004949224.1	1582
puma	112866329	SAMD9	9696	Puma concolor	XM_025929280.1	XM_025929280.1	1		NW_020339852.1	1010
reed vole	126493140	Samd9	100897	Alexandromys fortis	XM_050129956.1	XM_050129956.1	1		NW_026068202.1	1582
silvery gibbon	116814108	SAMD9	81572	Hylobates moloch	XM_032761063.2	XM_032761063.2	1		NW_026652276.1	1588
southern two-toed sloth	119534384	SAMD9	27675	Choloepus didactylus	XM_037836670.1	XM_037836670.1	1		NC_051311.1	1614
Ugandan red Colobus	111552488	SAMD9	591936	Piliocolobus tephrosceles	XM_023226758.2	XM_023226758.2	1		NC_045441.1	1624
white-toothed pygmy shrew	126023997	SAMD9	109475	Suncus etruscus	XM_049784443.1	XM_049784443.1	1		NC_064848.1	1577
