""	"clade"	"mdl"	"fgspecies"	"bgspecies"	"om0"	"lnlm0"	"npm0"	"ombnfg"	"ombnbg"	"lnlbn"	"npbn"	"ombffg"	"ombfbg"	"lnlbf"	"npbf"	"pvalm0_bfree"	"pavalbne_bfree"	"adjusted_pvalm0_bfree"	"adjusted_pavalbne_bfree"
"1"	"SAMD9"	"F1x4"	"Antechinus_flavipes"	"Macrotis_lagotis,Thylacinus_cynocephalus,Myrmecobius_fasciatus,Sminthopsis_crassicaudata,Sarcophilus_harrisii,Dasyurus_viverrinus,Phalanger_gymnotis,Trichosurus_vulpecula,Potorous_gilbertii,Notamacropus_eugenii,Macropus_fuliginosus,Macropus_giganteus,Lagorchestes_hirsutus,Pseudochirops_cupreus,Pseudochirops_corinnae,Pseudocheirus_occidentalis,Vombatus_ursinus,Dromiciops_gliroides,Monodelphis_domestica,Gracilinanus_agilis"	0.50893	-25703.712972	41	1	0.50484	-25703.521201	41	0.71841	0.50472	-25702.586132	42	0.13329707451263	0.171459275036184	0.402338358890418	0.211802633868227
"2"	"SAMD9"	"F3x4"	"Antechinus_flavipes"	"Macrotis_lagotis,Thylacinus_cynocephalus,Myrmecobius_fasciatus,Sminthopsis_crassicaudata,Sarcophilus_harrisii,Dasyurus_viverrinus,Phalanger_gymnotis,Trichosurus_vulpecula,Potorous_gilbertii,Notamacropus_eugenii,Macropus_fuliginosus,Macropus_giganteus,Lagorchestes_hirsutus,Pseudochirops_cupreus,Pseudochirops_corinnae,Pseudocheirus_occidentalis,Vombatus_ursinus,Dromiciops_gliroides,Monodelphis_domestica,Gracilinanus_agilis"	0.50886	-25753.486247	41	1	0.50481	-25753.300106	41	0.71801	0.50466	-25752.364127	42	0.134112786296806	0.171250995730296	0.402338358890418	0.211802633868227
"3"	"SAMD9"	"F1x4"	"Dasyurus_viverrinus"	"Macrotis_lagotis,Thylacinus_cynocephalus,Myrmecobius_fasciatus,Sminthopsis_crassicaudata,Antechinus_flavipes,Sarcophilus_harrisii,Phalanger_gymnotis,Trichosurus_vulpecula,Potorous_gilbertii,Notamacropus_eugenii,Macropus_fuliginosus,Macropus_giganteus,Lagorchestes_hirsutus,Pseudochirops_cupreus,Pseudochirops_corinnae,Pseudocheirus_occidentalis,Vombatus_ursinus,Dromiciops_gliroides,Monodelphis_domestica,Gracilinanus_agilis"	0.50893	-25703.712972	41	1	0.51122	-25707.700209	41	0.35414	0.51095	-25703.126919	42	0.278968936434885	0.00249183374114026	0.532577060466599	0.00523285085639455
"4"	"SAMD9"	"F3x4"	"Dasyurus_viverrinus"	"Macrotis_lagotis,Thylacinus_cynocephalus,Myrmecobius_fasciatus,Sminthopsis_crassicaudata,Antechinus_flavipes,Sarcophilus_harrisii,Phalanger_gymnotis,Trichosurus_vulpecula,Potorous_gilbertii,Notamacropus_eugenii,Macropus_fuliginosus,Macropus_giganteus,Lagorchestes_hirsutus,Pseudochirops_cupreus,Pseudochirops_corinnae,Pseudocheirus_occidentalis,Vombatus_ursinus,Dromiciops_gliroides,Monodelphis_domestica,Gracilinanus_agilis"	0.50886	-25753.486247	41	1	0.51129	-25757.55273	41	0.34698	0.51099	-25752.838428	42	0.255011532961037	0.00213626847377379	0.532577060466599	0.00472227767886838
"5"	"SAMD9"	"F1x4"	"Dromiciops_gliroides"	"Macrotis_lagotis,Thylacinus_cynocephalus,Myrmecobius_fasciatus,Sminthopsis_crassicaudata,Antechinus_flavipes,Sarcophilus_harrisii,Dasyurus_viverrinus,Phalanger_gymnotis,Trichosurus_vulpecula,Potorous_gilbertii,Notamacropus_eugenii,Macropus_fuliginosus,Macropus_giganteus,Lagorchestes_hirsutus,Pseudochirops_cupreus,Pseudochirops_corinnae,Pseudocheirus_occidentalis,Vombatus_ursinus,Monodelphis_domestica,Gracilinanus_agilis"	0.50893	-25703.712972	41	1	0.51112	-25716.613916	41	0.48117	0.51094	-25703.625753	42	0.676197363641515	3.45629846606778e-07	0.79073629361499	3.55211818304701e-06
"6"	"SAMD9"	"F3x4"	"Dromiciops_gliroides"	"Macrotis_lagotis,Thylacinus_cynocephalus,Myrmecobius_fasciatus,Sminthopsis_crassicaudata,Antechinus_flavipes,Sarcophilus_harrisii,Dasyurus_viverrinus,Phalanger_gymnotis,Trichosurus_vulpecula,Potorous_gilbertii,Notamacropus_eugenii,Macropus_fuliginosus,Macropus_giganteus,Lagorchestes_hirsutus,Pseudochirops_cupreus,Pseudochirops_corinnae,Pseudocheirus_occidentalis,Vombatus_ursinus,Monodelphis_domestica,Gracilinanus_agilis"	0.50886	-25753.486247	41	1	0.51094	-25766.096519	41	0.48506	0.51058	-25753.422708	42	0.721481117246828	4.78742206634459e-07	0.797426498009652	3.55211818304701e-06
"7"	"SAMD9"	"F1x4"	"Gracilinanus_agilis"	"Macrotis_lagotis,Thylacinus_cynocephalus,Myrmecobius_fasciatus,Sminthopsis_crassicaudata,Antechinus_flavipes,Sarcophilus_harrisii,Dasyurus_viverrinus,Phalanger_gymnotis,Trichosurus_vulpecula,Potorous_gilbertii,Notamacropus_eugenii,Macropus_fuliginosus,Macropus_giganteus,Lagorchestes_hirsutus,Pseudochirops_cupreus,Pseudochirops_corinnae,Pseudocheirus_occidentalis,Vombatus_ursinus,Dromiciops_gliroides,Monodelphis_domestica"	0.50893	-25703.712972	41	1	0.49505	-25698.61351	41	0.92184	0.49533	-25698.532943	42	0.00128771158460814	0.688114609556673	0.0135209716383855	0.704897892716592
"8"	"SAMD9"	"F3x4"	"Gracilinanus_agilis"	"Macrotis_lagotis,Thylacinus_cynocephalus,Myrmecobius_fasciatus,Sminthopsis_crassicaudata,Antechinus_flavipes,Sarcophilus_harrisii,Dasyurus_viverrinus,Phalanger_gymnotis,Trichosurus_vulpecula,Potorous_gilbertii,Notamacropus_eugenii,Macropus_fuliginosus,Macropus_giganteus,Lagorchestes_hirsutus,Pseudochirops_cupreus,Pseudochirops_corinnae,Pseudocheirus_occidentalis,Vombatus_ursinus,Dromiciops_gliroides,Monodelphis_domestica"	0.50886	-25753.486247	41	1	0.49489	-25748.242883	41	0.93033	0.49512	-25748.179857	42	0.00112308709846617	0.72256110380079	0.0135209716383855	0.72256110380079
"9"	"SAMD9"	"F1x4"	"Lagorchestes_hirsutus"	"Macrotis_lagotis,Thylacinus_cynocephalus,Myrmecobius_fasciatus,Sminthopsis_crassicaudata,Antechinus_flavipes,Sarcophilus_harrisii,Dasyurus_viverrinus,Phalanger_gymnotis,Trichosurus_vulpecula,Potorous_gilbertii,Notamacropus_eugenii,Macropus_fuliginosus,Macropus_giganteus,Pseudochirops_cupreus,Pseudochirops_corinnae,Pseudocheirus_occidentalis,Vombatus_ursinus,Dromiciops_gliroides,Monodelphis_domestica,Gracilinanus_agilis"	0.50893	-25703.712972	41	1	0.50659	-25703.647315	41	0.71445	0.50653	-25703.085803	42	0.262725557313455	0.289268239118585	0.532577060466599	0.319717527446857
"10"	"SAMD9"	"F3x4"	"Lagorchestes_hirsutus"	"Macrotis_lagotis,Thylacinus_cynocephalus,Myrmecobius_fasciatus,Sminthopsis_crassicaudata,Antechinus_flavipes,Sarcophilus_harrisii,Dasyurus_viverrinus,Phalanger_gymnotis,Trichosurus_vulpecula,Potorous_gilbertii,Notamacropus_eugenii,Macropus_fuliginosus,Macropus_giganteus,Pseudochirops_cupreus,Pseudochirops_corinnae,Pseudocheirus_occidentalis,Vombatus_ursinus,Dromiciops_gliroides,Monodelphis_domestica,Gracilinanus_agilis"	0.50886	-25753.486247	41	1	0.5066	-25753.478631	41	0.70856	0.50653	-25752.889346	42	0.274563987204933	0.277647307488714	0.532577060466599	0.319717527446857
